dwelling_id;trans_date;trans_dwelling_rooms;trans_dwelling_floor_area;trans_dwelling_storey;trans_dwelling_spaces;trans_dwelling_spaces_floor_area;trans_dwelling_price;trans_dwelling_price_m2;lon;lat;pzn_precinct;pzn_district
07503_01287;2008-04-25;;61;1;;;300000;4918.03;16.9222486;52.4124532;Stare Miasto;Nowe Miasto
03213_01470;2008-04-25;3;43.71;;;;225000;5147.56;16.8900714;52.3843217;Gorczyn;Grunwald
08902_05800;2008-04-25;3;38.1;6;1;2.3;215000;5643.04;16.944453;52.433704;Nowe Winogrady Wschod;Nowe Miasto
05959_10425;2008-04-25;3;46.4;2;1;1.6;251500;5420.26;16.9596617;52.4105061;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
03206_01214;2008-04-28;3;42.7;;1;2.2;180000;4215.46;16.8828727;52.3871082;Gorczyn;Grunwald
03155_02319;2008-04-28;2;28.1;2;;;140000;4982.21;16.8849722;52.3868107;Gorczyn;Grunwald
00797_02494;2008-04-28;5;105.7;1;1;20.9;536000;5070.96;16.880164;52.4464739;Strzeszyn;Jezyce
06907_03246;2008-04-28;2;32.87;3;1;6.41;254000;7727.41;16.9464319;52.4527669;Naramowice;Nowe Miasto
10125_04481;2008-04-28;3;42.9;3;;;292000;6806.53;16.919179;52.4632239;Piatkowo;Nowe Miasto
03685_05380;2008-04-28;4;53;2;1;2.75;265000;5000;16.8619213;52.3866898;Grunwald Poludnie;Grunwald
08038_05871;2008-04-28;4;50.94;2;1;5.53;260000;5104.04;16.9290089;52.407028;Stare Miasto;Nowe Miasto
03907_02033;2008-04-29;5;104.8;;1;16.7;523000;4990.46;16.8963031;52.3980513;Sw. Lazarz;Grunwald
04113_04799;2008-04-29;3;39;1;1;4.6;210000;5384.62;16.8982096;52.3915852;Sw. Lazarz;Grunwald
09812_05063;2008-04-29;3;45.5;1;;;310000;6813.19;16.9221438;52.4635971;Piatkowo;Nowe Miasto
00382_06136;2008-04-29;3;41.92;;;;310000;7395.04;16.8786859;52.455014;Podolany;Jezyce
00788_01848;2008-04-30;;67.5;;;;345000;5111.11;16.9085468;52.4277791;Solacz;Jezyce
06998_02489;2008-04-30;2;48.8;3;1;3.8;315000;6454.92;16.946517;52.448924;Naramowice;Nowe Miasto
01352_03139;2008-04-30;4;81;0;;;360000;4444.44;16.8926279;52.4098223;Jezyce;Jezyce
02185_04185;2008-04-30;2;59.46;;;;416000;6996.3;16.8710929;52.4611779;Podolany;Jezyce
09100_05773;2008-04-30;4;62.9;8;;;305000;4848.97;16.9455191;52.4381977;Nowe Winogrady Wschod;Nowe Miasto
07141_06139;2008-04-30;4;115.7;2;1;1.1;415281.43;3589.29;16.9404784;52.4559833;Naramowice;Nowe Miasto
03058_00895;2008-05-05;2;38.87;;;;185500;4772.32;16.8845418;52.3824961;Gorczyn;Grunwald
03154_02320;2008-05-05;2;28.47;;;;140000;4917.46;16.8849722;52.3868107;Gorczyn;Grunwald
00378_06143;2008-05-05;2;51.8;2;;;280000;5405.41;16.874814;52.4463779;Strzeszyn;Jezyce
00569_00317;2008-05-06;4;98.88;;;;825000;8343.45;16.9079336;52.4257128;Solacz;Jezyce
00572_00318;2008-05-06;4;98.88;;;;825000;8343.45;16.9079336;52.4257128;Solacz;Jezyce
03448_01951;2008-05-06;3;41;2;2;9.49;285000;6951.22;16.8481565;52.3961285;Junikowo;Grunwald
03207_01985;2008-05-06;4;47.3;;1;2.4;250000;5285.41;16.8828727;52.3871082;Gorczyn;Grunwald
08981_05487;2008-05-06;5;77.05;0;;;505000;6554.19;16.9554431;52.4306915;Stare Winogrady;Nowe Miasto
05949_09916;2008-05-06;4;66.31;2;1;6.3;359000;5413.96;16.9529078;52.4120127;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
01349_02092;2008-05-07;5;83.7;;;;220000;2628.43;16.8894895;52.410687;Jezyce;Jezyce
03158_02276;2008-05-07;2;37.8;;;;120000;3174.6;16.8839586;52.3812446;Gorczyn;Grunwald
04949_00050;2008-05-08;5;106.89;0;;;940000;8794.09;16.8906293;52.3995908;Sw. Lazarz;Grunwald
04949_00051;2008-05-08;5;106.8;2;;;900000;8426.97;16.8906293;52.3995908;Sw. Lazarz;Grunwald
01863_01162;2008-05-08;;29;;;;96000;3310.34;16.907815;52.4138113;Jezyce;Jezyce
05570_01537;2008-05-08;;;;;;630000;;16.9003277;52.3966134;Sw. Lazarz;Grunwald
02580_10465;2008-05-08;2;31.4;2;;;275000;8757.96;16.9644891;52.3993854;Rataje;Stare Miasto
09901_02119;2008-05-09;4;62.3;2;1;5.1;380000;6099.52;16.898387;52.459522;Piatkowo;Nowe Miasto
05516_02400;2008-05-09;4;77.71;3;1;7.9;450000;5790.76;16.8885378;52.392967;Sw. Lazarz;Grunwald
03153_02460;2008-05-09;2;26.7;1;;;145000;5430.71;16.8849722;52.3868107;Gorczyn;Grunwald
10041_03935;2008-05-09;1;31.3;2;;;190000;6070.29;16.919179;52.4632239;Piatkowo;Nowe Miasto
09012_04813;2008-05-09;4;70.2;0;;;583724;8315.16;16.9437499;52.4315579;Nowe Winogrady Poludnie;Nowe Miasto
06006_05322;2008-05-09;3;59.2;1;3;37.6;220000;3716.22;16.8273069;52.3793859;Kwiatowe;Grunwald
01007_05865;2008-05-09;3;42.9;1;1;8.9;160000;3729.6;16.883753;52.4118379;Ogrody;Jezyce
00698_05912;2008-05-09;3;40.3;2;1;12.8;235000;5831.27;16.8973518;52.4301201;Solacz;Jezyce
11281_09643;2008-05-09;3;41.55;;;;270000;6498.19;16.906885;52.370494;Zielony Debiec;Wilda
05057_01860;2008-05-12;3;74.4;;;;405000;5443.55;16.890604;52.40266;Sw. Lazarz;Grunwald
07834_02147;2008-05-12;2;30;;;;187500;6250;16.93374;52.402567;Stare Miasto;Nowe Miasto
12357_10050;2008-05-12;2;47;2;1;5.4;320000;6808.51;17.0062091;52.3914557;Antoninek-Zieliniec-Kobylepole;Stare Miasto
02637_10434;2008-05-12;2;42.5;0;1;15.2;362500;8529.41;16.96455;52.398105;Rataje;Stare Miasto
11251_10673;2008-05-12;4;92.2;;2;15.9;650000;7049.89;16.896739;52.3729586;Swierczewo;Wilda
12013_10547;2008-05-13;2;33.9;;1;2.3;190000;5604.72;16.9191475;52.3923471;Wilda;Wilda
12004_11286;2008-05-13;5;152.2;0;1;7.2;577600;3795.01;16.921118;52.392015;Wilda;Wilda
06895_03096;2008-05-14;4;62.7;1;;;445000;7097.29;16.9464319;52.4527669;Naramowice;Nowe Miasto
02914_05008;2008-05-14;4;46.1;9;1;2;230000;4989.15;16.8859307;52.3876706;Gorczyn;Grunwald
04132_05504;2008-05-14;3;44.5;3;;;241000;5415.73;16.8955858;52.3947971;Sw. Lazarz;Grunwald
09009_05790;2008-05-14;3;48.57;4;;;335000;6897.26;16.9555139;52.4306767;Stare Winogrady;Nowe Miasto
01640_06051;2008-05-14;5;125;2;1;22.7;300000;2400;16.8985626;52.4107761;Jezyce;Jezyce
05824_10092;2008-05-14;;25.9;;;;165000;6370.66;16.9545056;52.4109107;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
10955_10285;2008-05-14;4;44.7;;;;212000;4742.73;16.906211;52.3707909;Zielony Debiec;Wilda
05823_11060;2008-05-14;2;55.55;1;;;275000;4950.5;16.9525272;52.4110915;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
05713_00353;2008-05-15;;51;2;;;267000;5235.29;16.874052;52.408632;Grunwald Polnoc;Grunwald
04857_02508;2008-05-15;3;48.71;;;;315000;6466.84;16.8863517;52.3897164;Sw. Lazarz;Grunwald
01011_03132;2008-05-15;1;51.3;3;;;170000;3313.84;16.9098578;52.4103184;Jezyce;Jezyce
