dwelling_id;trans_date;trans_dwelling_rooms;trans_dwelling_floor_area;trans_dwelling_storey;trans_dwelling_spaces;trans_dwelling_spaces_floor_area;trans_dwelling_price;trans_dwelling_price_m2;lon;lat;pzn_precinct;pzn_district
06694_02751;2009-03-20;3;45.2;;;;255000;5641.59;16.946981;52.4491639;Naramowice;Nowe Miasto
01707_04367;2009-03-20;2;27.2;;1;8.8;70000;2573.53;16.8989474;52.4126539;Jezyce;Jezyce
08122_06881;2009-03-20;2;32;10;1;2.6;170000;5312.5;16.9263109;52.436473;Nowe Winogrady Polnoc;Nowe Miasto
05848_09697;2009-03-20;2;27.31;;;;130000;4760.16;16.953163;52.411274;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
02941_01197;2009-03-23;4;57.6;;1;2.1;245000;4253.47;16.8821091;52.3871388;Gorczyn;Grunwald
04791_03131;2009-03-23;3;83.6;;;;143000;1710.53;16.9004589;52.4050457;Sw. Lazarz;Grunwald
10715_10331;2009-03-23;3;54.8;1;;;360000;6569.34;16.9646144;52.3926564;Rataje;Stare Miasto
06869_00612;2009-03-24;2;36;1;;;196000;5444.44;16.947368;52.448245;Naramowice;Nowe Miasto
04681_01290;2009-03-24;4;45.2;1;1;6;220000;4867.26;16.8730203;52.4118076;Ogrody;Jezyce
07605_03439;2009-03-24;4;91.7;0;;;1500000;16357.69;16.9426299;52.4022248;Stare Miasto;Nowe Miasto
05087_03625;2009-03-24;3;52.5;3;;;160000;3047.62;16.8872577;52.393376;Sw. Lazarz;Grunwald
09328_04494;2009-03-24;2;32.1;0;;;222000;6915.89;16.9201334;52.46419;Piatkowo;Nowe Miasto
09571_05264;2009-03-24;3;45.7;2;;;295000;6455.14;16.907709;52.45588;Piatkowo;Nowe Miasto
09430_06339;2009-03-24;3;48.8;7;;;208000;4262.3;16.9228934;52.4568688;Piatkowo;Nowe Miasto
05872_09544;2009-03-24;3;49.05;;;;205000;4179.41;16.961136;52.409591;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
08287_00698;2009-03-25;3;41;4;1;1.3;215000;5243.9;16.9251863;52.4278032;Stare Winogrady;Nowe Miasto
04888_03202;2009-03-25;3;37.2;2;;;158000;4247.31;16.8925859;52.390912;Sw. Lazarz;Grunwald
01549_04301;2009-03-25;4;62.2;2;1;9.8;430000;6913.18;16.8936021;52.4147722;Jezyce;Jezyce
00760_06538;2009-03-25;2;36.8;1;1;2.9;125000;3396.74;16.9122549;52.425517;Winiary;Jezyce
03361_07042;2009-03-25;3;71.2;0;;;280000;3932.58;16.9251681;52.406374;Stare Miasto;Nowe Miasto
00313_10988;2009-03-25;3;38.3;2;1;1.9;155000;4047;16.96764;52.312959;Gluszyna;Stare Miasto
03966_00805;2009-03-26;4;47.86;1;;;250000;5223.57;16.8782005;52.4101864;Grunwald Polnoc;Grunwald
07761_01441;2009-03-26;3;46.4;6;1;3.3;308000;6637.93;16.927256;52.4114949;Stare Miasto;Nowe Miasto
03373_02427;2009-03-26;2;40.4;;1;3;84000;2079.21;16.8500419;52.387668;Junikowo;Grunwald
09557_06531;2009-03-26;5;73.6;0;;;220000;2989.13;16.9150229;52.4642599;Jana III Sobieskiego i Marysienki;Nowe Miasto
05865_10536;2009-03-26;3;48.1;;;;245000;5093.56;16.9606133;52.4110936;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
04256_00393;2009-03-27;;33;;;;80000;2424.24;16.900703;52.3956169;Sw. Lazarz;Grunwald
00758_00490;2009-03-27;3;44.32;;1;3.02;180000;4061.37;16.899331;52.428954;Solacz;Jezyce
05084_03868;2009-03-27;4;56.6;3;;;255000;4505.3;16.884116;52.40996;Stary Grunwald;Grunwald
01186_04243;2009-03-27;5;91.23;;;;365000;4000.88;16.9046164;52.411471;Jezyce;Jezyce
08519_05920;2009-03-27;3;52.06;2;;;365000;7011.14;16.9555139;52.4306767;Stare Winogrady;Nowe Miasto
03943_07039;2009-03-27;3;50.7;4;;;270000;5325.44;16.8971988;52.3942378;Sw. Lazarz;Grunwald
01066_07040;2009-03-27;4;132.4;3;;;575000;4342.9;16.9087536;52.409113;Jezyce;Jezyce
03992_00654;2009-03-30;;43;4;;;210000;4883.72;16.8753031;52.4053356;Grunwald Polnoc;Grunwald
08506_00977;2009-03-30;2;40.3;;;;206000;5111.66;16.8739886;52.4491341;Strzeszyn;Jezyce
04806_02954;2009-03-30;3;45;2;1;7.4;210000;4666.67;16.8935709;52.407306;Sw. Lazarz;Grunwald
02102_04130;2009-03-30;5;277.57;2;1;22.48;1730000;6232.66;16.9111999;52.4104968;Jezyce;Jezyce
03678_04940;2009-03-30;2;44.3;0;;;239000;5395.03;16.8357989;52.381226;Junikowo;Grunwald
09157_06995;2009-03-30;2;30.8;3;;;142000;4610.39;16.9234199;52.4577558;Piatkowo;Nowe Miasto
01209_07046;2009-03-30;4;71.8;;1;35.61;510000;7103.06;16.859474;52.417446;Wola;Jezyce
01209_07047;2009-03-30;7;130.33;;1;49.3;680000;5217.52;16.859474;52.417446;Wola;Jezyce
02786_07052;2009-03-30;4;61.9;1;;;370612.64;5987.28;16.891991;52.384648;Gorczyn;Grunwald
02435_10460;2009-03-30;3;47.4;3;;;340000;7173;16.9630259;52.3979749;Rataje;Stare Miasto
01056_00178;2009-03-31;4;97.31;;;;370000;3802.28;16.9098105;52.4067249;Jezyce;Jezyce
06571_04572;2009-03-31;3;36.4;3;1;1.6;212000;5824.18;16.9471229;52.450669;Naramowice;Nowe Miasto
08231_05972;2009-03-31;3;46.8;2;1;2.9;214000;4572.65;16.926854;52.442149;Nowe Winogrady Polnoc;Nowe Miasto
08136_06851;2009-03-31;4;63.3;3;1;3.4;270000;4265.4;16.918069;52.4339979;Winiary;Jezyce
01761_07043;2009-03-31;2;56.14;4;;;350000;6234.41;16.9046653;52.4107458;Jezyce;Jezyce
02784_07057;2009-03-31;3;48;3;1;2.8;246646.24;5138.46;16.891991;52.384648;Gorczyn;Grunwald
11826_09929;2009-03-31;5;89.7;3;1;8.3;545000;6075.81;16.9223764;52.3964675;Wilda;Wilda
06914_00629;2009-04-01;5;63.05;;1;;250000;3965.11;16.9455579;52.445704;Naramowice;Nowe Miasto
07270_03575;2009-04-01;2;32.3;;;;190000;5882.35;16.9289315;52.4104868;Stare Miasto;Nowe Miasto
04818_03773;2009-04-01;3;73.77;3;1;5.25;166365;2255.19;16.9025191;52.3957096;Sw. Lazarz;Grunwald
03177_04460;2009-04-01;2;55.4;;1;5.4;347000;6263.54;16.885001;52.385137;Gorczyn;Grunwald
10448_11629;2009-04-01;3;49.4;16;;;100000;2024.29;16.958123;52.3904349;Rataje;Stare Miasto
02144_02117;2009-04-02;2;65.4;1;1;1.6;405480;6200;16.8344409;52.435168;Krzyzowniki-Smochowice;Jezyce
03186_02719;2009-04-02;3;47.6;;;;285000;5987.39;16.8930422;52.3863109;Gorczyn;Grunwald
00727_02866;2009-04-02;4;76.2;0;1;12;450000;5905.51;16.8773759;52.4469009;Strzeszyn;Jezyce
00196_11110;2009-04-02;3;41.5;2;1;2.2;173000;4168.67;16.9632543;52.3146291;Gluszyna;Stare Miasto
12145_11551;2009-04-02;3;48.8;10;;;200000;4098.36;16.983802;52.392468;Chartowo;Stare Miasto
06823_01303;2009-04-03;3;46;;;;319000;6934.78;16.949185;52.446217;Naramowice;Nowe Miasto
03994_04134;2009-04-03;3;43;4;;;189000;4395.35;16.8703629;52.4116329;Grunwald Polnoc;Grunwald
01411_05587;2009-04-03;4;92.45;;;;350000;3785.83;16.9045411;52.4105074;Jezyce;Jezyce
10615_10905;2009-04-03;3;49.16;2;;;345000;7017.9;16.965853;52.3914039;Rataje;Stare Miasto
06594_02061;2009-04-04;2;25.6;2;;;172000;6718.75;16.9446402;52.4557805;Naramowice;Nowe Miasto
07365_00461;2009-04-06;4;57.78;1;;;257500;4456.56;16.9223346;52.4125612;Stare Miasto;Nowe Miasto
04556_06043;2009-04-06;2;67.5;1;;;550000;8148.15;16.894097;52.3994969;Sw. Lazarz;Grunwald
02451_11405;2009-04-06;2;55.2;6;;;385000;6974.64;16.9652924;52.3954559;Rataje;Stare Miasto
00294_11673;2009-04-06;2;43.12;1;;;193940;4497.68;16.9750989;52.3112391;Gluszyna;Stare Miasto
04645_03552;2009-04-07;3;43.3;;;;215000;4965.36;16.8752485;52.4057883;Grunwald Polnoc;Grunwald
08518_05104;2009-04-07;2;43.75;4;;;250000;5714.29;16.9554431;52.4306915;Stare Winogrady;Nowe Miasto
01270_03024;2009-04-08;4;72.5;;;;297000;4096.55;16.9059871;52.4098666;Jezyce;Jezyce
07179_03144;2009-04-08;5;93.9;;;;635000;6762.51;16.9464319;52.4527669;Naramowice;Nowe Miasto
07178_03179;2009-04-08;2;41.4;;;;265000;6400.97;16.9464319;52.4527669;Naramowice;Nowe Miasto
02764_00122;2009-04-09;4;92.1;;;;200000;2171.55;16.898249;52.378344;Gorczyn;Grunwald
00593_01900;2009-04-09;2;36.2;;;;165000;4558.01;16.9096079;52.4274404;Solacz;Jezyce
08438_04512;2009-04-09;2;52.4;2;;;369000;7041.98;16.9518413;52.4303181;Stare Winogrady;Nowe Miasto
07033_04891;2009-04-09;3;37.21;3;1;4.99;195000;5240.53;16.95103;52.457274;Naramowice;Nowe Miasto
08675_05064;2009-04-09;4;67.2;1;;;410000;6101.19;16.9216859;52.4349969;Nowe Winogrady Poludnie;Nowe Miasto
09844_06782;2009-04-09;2;54.6;0;;;330000;6043.96;16.898234;52.460763;Jana III Sobieskiego i Marysienki;Nowe Miasto
00295_11688;2009-04-09;2;34.29;2;;;154205;4497.08;16.9750989;52.3112391;Gluszyna;Stare Miasto
07493_00003;2009-04-10;2;38.2;1;;;400000;10471.2;16.9426299;52.4022248;Stare Miasto;Nowe Miasto
02351_07067;2009-04-10;3;57.82;1;;;380000;6572.12;16.8699215;52.461692;Podolany;Jezyce
02352_01716;2009-04-14;3;57;0;2;63;195000;3421.05;16.759918;52.4660779;Kiekrz;Jezyce
02702_02300;2009-04-14;3;51.4;2;;;355000;6906.61;16.8937829;52.3863429;Gorczyn;Grunwald
12162_10342;2009-04-14;5;75.9;;1;4.5;350000;4611.33;16.982594;52.394453;Chartowo;Stare Miasto
08036_03780;2009-04-15;3;58.2;2;1;5.2;150000;2577.32;16.93712;52.4045689;Stare Miasto;Nowe Miasto
05616_04591;2009-04-15;2;55.55;1;;;293095.13;5276.24;16.8917814;52.3871804;Sw. Lazarz;Grunwald
06962_05337;2009-04-15;1;35.5;2;1;2.3;225000;6338.03;16.9481778;52.4524321;Naramowice;Nowe Miasto
09065_06071;2009-04-15;2;49.1;2;1;3.8;319000;6496.95;16.899545;52.458515;Piatkowo;Nowe Miasto
02350_07070;2009-04-15;3;56.13;1;;;363545;6476.84;16.8699215;52.461692;Podolany;Jezyce
02348_07071;2009-04-15;3;57.75;2;;;288750;5000;16.8699215;52.461692;Podolany;Jezyce
02346_07072;2009-04-15;3;61.85;2;;;420000;6790.62;16.8699215;52.461692;Podolany;Jezyce
02717_07077;2009-04-15;2;31.5;3;1;3.4;152000;4825.4;16.8849722;52.3868107;Gorczyn;Grunwald
02781_07084;2009-04-15;2;50.8;1;;;254000;5000;16.891991;52.384648;Gorczyn;Grunwald
12155_10639;2009-04-15;2;30.39;;;;180000;5923;16.9863359;52.393916;Chartowo;Stare Miasto
10343_11583;2009-04-15;4;64.3;0;;;255000;3965.79;16.9700819;52.382822;Zegrze;Stare Miasto
10278_11687;2009-04-15;4;47.5;4;;;280000;5894.74;16.94996;52.380117;Rataje;Stare Miasto
06741_00613;2009-04-16;3;45.4;;1;;220000;4845.81;16.947368;52.448245;Naramowice;Nowe Miasto
07190_02774;2009-04-16;4;67.21;;;;376000;5594.41;16.9449936;52.455762;Naramowice;Nowe Miasto
09773_06413;2009-04-16;3;49.7;2;;;216000;4346.08;16.9260245;52.4582301;Piatkowo;Nowe Miasto
08535_05831;2009-04-17;3;46.8;7;;;230000;4914.53;16.9148202;52.4447059;Piatkowo;Nowe Miasto
02347_07078;2009-04-17;5;101.9;0;;;774136;7597.02;16.8699215;52.461692;Podolany;Jezyce
02349_07079;2009-04-17;2;42.23;0;;;274495;6500;16.8699215;52.461692;Podolany;Jezyce
06160_11639;2009-04-17;4;47.2;2;;;200000;4237.29;16.9585969;52.391306;Rataje;Stare Miasto
00297_11689;2009-04-17;2;38.28;2;;;175138;4575.18;16.9750989;52.3112391;Gluszyna;Stare Miasto
00296_11694;2009-04-17;2;38.18;2;;;174710;4575.96;16.9750989;52.3112391;Gluszyna;Stare Miasto
03924_00423;2009-04-20;;43;2;;;255000;5930.23;16.881825;52.410022;Grunwald Polnoc;Grunwald
07832_02861;2009-04-20;2;51.6;2;;;390000;7552.29;16.9352792;52.4122114;Stare Miasto;Nowe Miasto
03861_04831;2009-04-20;2;37.7;4;1;5.5;202500;5371.35;16.8708329;52.4018639;Grunwald Poludnie;Grunwald
08476_05394;2009-04-20;4;53.2;3;1;2.5;270000;5075.19;16.9278993;52.4318288;Nowe Winogrady Poludnie;Nowe Miasto
09364_06590;2009-04-20;4;58.4;2;;;302000;5171.23;16.926664;52.446813;Piatkowo;Nowe Miasto
01220_07083;2009-04-20;2;32.52;0;;;175600;5399.75;16.9046163;52.4126837;Jezyce;Jezyce
04636_02550;2009-04-21;3;37.5;;1;3.5;180000;4800;16.9043556;52.3908159;Sw. Lazarz;Grunwald
10106_04952;2009-04-21;4;67;0;;;350000;5223.88;16.9201334;52.46419;Piatkowo;Nowe Miasto
03466_06806;2009-04-21;3;44.39;4;;;252500;5688.22;16.8629809;52.390522;Grunwald Poludnie;Grunwald
00100_10022;2009-04-21;4;64;1;;;428000;6687.5;16.9966713;52.4065727;Warszawskie-Pomet-Maltanskie;Stare Miasto
09826_01639;2009-04-22;4;69.1;5;;;430000;6222.87;16.921065;52.462546;Piatkowo;Nowe Miasto
08056_05511;2009-04-22;3;47.55;1;;;305600;6426.92;16.9554431;52.4306915;Stare Winogrady;Nowe Miasto
02789_06398;2009-04-22;2;31;9;1;1.8;140000;4516.13;16.8643148;52.3883843;Grunwald Poludnie;Grunwald
04498_06468;2009-04-22;2;60.13;1;;;487053;8100;16.894097;52.3994969;Sw. Lazarz;Grunwald
03049_01472;2009-04-23;3;46.88;;;;250000;5332.76;16.8900714;52.3843217;Gorczyn;Grunwald
09849_01630;2009-04-23;2;38.5;4;;;242000;6285.71;16.921065;52.462546;Piatkowo;Nowe Miasto
05535_02528;2009-04-23;3;26.7;;;;135000;5056.18;16.877964;52.4089369;Grunwald Polnoc;Grunwald
08719_06828;2009-04-23;4;47.3;0;1;4.8;216000;4566.6;16.938139;52.440853;Nowe Winogrady Polnoc;Nowe Miasto
01721_01533;2009-04-24;2;39.1;;1;5.3;195000;4987.21;16.8830304;52.4160606;Ogrody;Jezyce
04500_06467;2009-04-24;2;59.83;1;;;484623;8100;16.894097;52.3994969;Sw. Lazarz;Grunwald
00307_10277;2009-04-24;3;39;;1;5.2;240000;6153.85;16.969988;52.3123469;Gluszyna;Stare Miasto
02412_11180;2009-04-24;2;48.5;2;1;16.2;400000;8247.42;16.9666649;52.3960887;Rataje;Stare Miasto
12140_11510;2009-04-24;3;55.2;8;;;220000;3985.51;16.981649;52.392944;Chartowo;Stare Miasto
10370_11610;2009-04-24;3;48.7;7;1;3.2;225000;4620.12;16.9464769;52.369414;Staroleka-Minikowo-Marlewo;Stare Miasto
10648_11642;2009-04-24;3;47.2;12;;;235000;4978.81;16.970413;52.379635;Zegrze;Stare Miasto
00298_11703;2009-04-24;1;28.61;0;;;128645;4496.5;16.9750989;52.3112391;Gluszyna;Stare Miasto
01757_00565;2009-04-27;2;31.8;;1;;129000;4056.6;16.908681;52.4068795;Jezyce;Jezyce
00815_01163;2009-04-27;1;29.6;;1;6.6;180000;6081.08;16.8747459;52.447412;Strzeszyn;Jezyce
08520_05808;2009-04-27;3;69.8;3;;;400000;5730.66;16.9555139;52.4306767;Stare Winogrady;Nowe Miasto
00096_10608;2009-04-27;1;27.7;0;;;152350;5500;16.9954629;52.4061716;Warszawskie-Pomet-Maltanskie;Stare Miasto
10445_11654;2009-04-27;3;41.2;1;;;205000;4975.73;16.962891;52.389005;Rataje;Stare Miasto
01712_00048;2009-04-28;2;67.43;;;;55000;815.66;16.8870219;52.4187269;Ogrody;Jezyce
07864_02138;2009-04-28;4;75.3;3;;;600000;7968.13;16.9426299;52.4022248;Stare Miasto;Nowe Miasto
07910_02890;2009-04-28;2;57.78;1;;;400000;6922.81;16.935506;52.412529;Stare Miasto;Nowe Miasto
11938_04896;2009-04-28;2;34.35;2;1;7.74;206500;6011.64;16.95103;52.457274;Naramowice;Nowe Miasto
09954_05778;2009-04-28;3;50.6;4;;;330000;6521.74;16.925107;52.460375;Piatkowo;Nowe Miasto
07753_06609;2009-04-28;4;87.02;2;1;1.06;590000;6780.05;16.9300678;52.4023548;Stare Miasto;Nowe Miasto
00286_11025;2009-04-28;2;34.6;;1;8.4;120000;3468.21;16.9690899;52.312582;Gluszyna;Stare Miasto
10624_11586;2009-04-28;4;79.1;5;;;272000;3438.69;16.959644;52.377832;Zegrze;Stare Miasto
03234_02923;2009-04-29;3;52.8;2;2;3.1;190000;3598.48;16.8853206;52.3834294;Gorczyn;Grunwald
09563_03839;2009-04-29;3;51.1;;1;3.6;256000;5009.78;16.899534;52.45908;Piatkowo;Nowe Miasto
08132_06710;2009-04-29;3;46.8;15;1;2.3;210000;4487.18;16.92369;52.436813;Nowe Winogrady Polnoc;Nowe Miasto
01036_06974;2009-04-29;4;102.5;9;;;835000;8146.34;16.9128439;52.4139654;Jezyce;Jezyce
02413_11058;2009-04-29;3;54.1;2;1;17.8;390000.3;7208.88;16.9666649;52.3960887;Rataje;Stare Miasto
02441_11225;2009-04-29;3;50.1;1;;;280000;5588.82;16.9558543;52.4022915;Rataje;Stare Miasto
11105_11587;2009-04-29;2;36.74;2;;;163000;4436.58;16.909161;52.364644;Zielony Debiec;Wilda
11333_11708;2009-04-29;3;58;3;2;6.9;160000;2758.62;16.9145775;52.3873019;Wilda;Wilda
08789_00460;2009-04-30;4;65.67;;;;265000;4035.33;16.9224089;52.424658;Stare Winogrady;Nowe Miasto
03991_00557;2009-04-30;;29;4;;;138000;4758.62;16.8753031;52.4053356;Grunwald Polnoc;Grunwald
02787_02720;2009-04-30;2;36.4;4;;;275000;7554.95;16.8930422;52.3863109;Gorczyn;Grunwald
04804_05014;2009-04-30;3;92.25;4;;;380000;4119.24;16.8984436;52.398693;Sw. Lazarz;Grunwald
03474_05406;2009-04-30;3;42.2;;1;2.47;175005;4147.04;16.8619213;52.3866898;Grunwald Poludnie;Grunwald
06965_05544;2009-04-30;2;35.5;1;1;3.2;225000;6338.03;16.9481778;52.4524321;Naramowice;Nowe Miasto
02882_06575;2009-04-30;4;62.7;1;1;1.4;250000;3987.24;16.8671263;52.3897573;Grunwald Poludnie;Grunwald
11966_09466;2009-04-30;;41.04;3;;;192000;4678.36;16.9209569;52.3991059;Wilda;Wilda
02448_10962;2009-04-30;3;50.2;0;1;2.7;372000;7410.36;16.9660759;52.397431;Rataje;Stare Miasto
00555_02609;2009-05-04;4;65.2;2;1;9.1;300000;4601.23;16.874254;52.44574;Strzeszyn;Jezyce
03958_03791;2009-05-04;2;37.3;;;;163000;4369.97;16.8750979;52.399108;Grunwald Poludnie;Grunwald
09312_04613;2009-05-04;1;31.9;1;;;181000;5673.98;16.9201334;52.46419;Piatkowo;Nowe Miasto
09956_05191;2009-05-04;4;62.2;1;1;3;250000;4019.29;16.9027332;52.457388;Piatkowo;Nowe Miasto
11996_10805;2009-05-04;2;31.92;3;;;230000;7205.51;16.9143079;52.3856922;Wilda;Wilda
11214_11528;2009-05-04;3;32.81;2;;;160000;;16.9051279;52.371452;Zielony Debiec;Wilda
04867_00159;2009-05-05;3;65.12;;;;338000;5190.42;16.904473;52.3989039;Sw. Lazarz;Grunwald
03181_01223;2009-05-05;4;47.8;9;;2.1;244500;5115.06;16.8842444;52.3881449;Gorczyn;Grunwald
04135_02826;2009-05-05;3;53;;;;200000;3773.58;16.874602;52.401483;Grunwald Poludnie;Grunwald
01246_04110;2009-05-05;2;36.8;3;1;4.7;140000;3804.35;16.883978;52.412354;Ogrody;Jezyce
02367_04123;2009-05-05;4;51.2;1;1;4.8;349000;6816.41;16.8923238;52.457809;Podolany;Jezyce
08578_05396;2009-05-05;3;38.1;8;1;2;176000;4619.42;16.9298833;52.4321917;Nowe Winogrady Poludnie;Nowe Miasto
08111_06297;2009-05-05;3;49.2;2;1;4.2;205000;4166.67;16.915368;52.434166;Winiary;Jezyce
05813_06904;2009-05-05;3;55.5;1;1;4;491750;8860.36;16.8959726;52.4005779;Sw. Lazarz;Grunwald
00619_07120;2009-05-05;3;54.93;2;;;265000;4824.32;16.874814;52.4463779;Strzeszyn;Jezyce
01151_00817;2009-05-06;4;107.9;;1;;360000;3336.42;16.909684;52.413702;Jezyce;Jezyce
08815_00943;2009-05-06;3;54.6;6;;;225000;4120.88;16.922795;52.425123;Stare Winogrady;Nowe Miasto
09951_01652;2009-05-06;2;35.5;;1;2;192500;5422.54;16.901041;52.4579287;Piatkowo;Nowe Miasto
01146_03504;2009-05-06;2;54.8;;;;355000;6478.1;16.9047265;52.4148176;Jezyce;Jezyce
05014_06982;2009-05-06;1;29.4;5;;;185000;6292.52;16.8926869;52.4003871;Sw. Lazarz;Grunwald
07549_07121;2009-05-06;3;42.95;3;;;245000;5704.31;16.93722;52.4051679;Stare Miasto;Nowe Miasto
11491_09540;2009-05-06;;52.05;;;;243000;4668.59;16.911651;52.377049;Wilda;Wilda
09903_01654;2009-05-07;2;35.5;;1;2;189000;5323.94;16.901221;52.4580269;Piatkowo;Nowe Miasto
02320_03304;2009-05-07;3;63.1;2;1;12.3;400000;6339.14;16.8428289;52.455802;Strzeszyn;Jezyce
04140_06670;2009-05-07;4;48;5;1;2.2;170000;3541.67;16.885011;52.389179;Sw. Lazarz;Grunwald
07331_06972;2009-05-07;3;52.4;3;;;423000;8072.52;16.9303843;52.4161996;Stare Miasto;Nowe Miasto
02414_11052;2009-05-07;3;53.2;3;;;362500;6813.91;16.9666649;52.3960887;Rataje;Stare Miasto
08135_04584;2009-05-08;3;49;4;1;3.2;225000;4591.84;16.918069;52.4339979;Winiary;Jezyce
12141_11488;2009-05-08;3;48.8;8;;;212000;4344.26;16.983802;52.392468;Chartowo;Stare Miasto
01328_01882;2009-05-09;2;26.9;;;;187000;6951.67;16.9084693;52.4151224;Jezyce;Jezyce
08237_05494;2009-05-11;4;52.8;4;1;3.8;235000;4450.76;16.9298833;52.4321917;Nowe Winogrady Poludnie;Nowe Miasto
09952_05777;2009-05-11;3;51.5;4;;;250000;4854.37;16.925107;52.460375;Piatkowo;Nowe Miasto
08621_05841;2009-05-11;2;32.1;8;;;120000;3738.32;16.915073;52.44571;Piatkowo;Nowe Miasto
09971_06879;2009-05-11;4;64.8;4;;;255000;3935.19;16.9262069;52.4481479;Piatkowo;Nowe Miasto
10871_09742;2009-05-11;;36.1;;;;165000;4570.64;16.905653;52.3669869;Zielony Debiec;Wilda
05838_11666;2009-05-11;3;46.05;1;;;213000;4625.41;16.9632304;52.4134322;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
03941_03656;2009-05-12;2;36;1;;;160000;4444.44;16.902786;52.401303;Sw. Lazarz;Grunwald
08441_04473;2009-05-12;4;66.8;1;;;460000;6886.23;16.9518413;52.4303181;Stare Winogrady;Nowe Miasto
00829_05128;2009-05-12;2;48.5;2;1;5.6;300000;6185.57;16.8742028;52.4463807;Strzeszyn;Jezyce
00252_10974;2009-05-12;5;85;3;1;5;320000;3764.71;16.9686562;52.3118829;Gluszyna;Stare Miasto
10345_11604;2009-05-12;4;64.8;4;;;284000;4382.72;16.9643689;52.3767439;Zegrze;Stare Miasto
09218_06946;2009-05-13;4;65;;1;16.1;450000;6923.08;16.922572;52.46277;Piatkowo;Nowe Miasto
11666_10896;2009-05-13;3;72.8;2;1;4;225000;3090.66;16.9145823;52.3893295;Wilda;Wilda
10652_11643;2009-05-13;4;70.1;4;;;460000;6562.05;16.963131;52.3782749;Zegrze;Stare Miasto
05154_01791;2009-05-14;2;32.1;2;;;161000;5015.58;16.9029623;52.3952447;Sw. Lazarz;Grunwald
07744_02793;2009-05-14;3;71.3;1;;;510000;7152.88;16.935506;52.412529;Stare Miasto;Nowe Miasto
08057_05779;2009-05-14;2;43.88;4;;;283000;6449.41;16.9558954;52.4296475;Stare Winogrady;Nowe Miasto
05836_09699;2009-05-14;2;30.32;;;;84000;2770.45;16.953163;52.411274;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
03237_01252;2009-05-15;5;56.1;;1;3.2;260000;4634.58;16.8819344;52.3857312;Gorczyn;Grunwald
06943_04709;2009-05-15;2;48.3;3;1;6.8;300000;6211.18;16.951088;52.456765;Naramowice;Nowe Miasto
08203_05403;2009-05-15;4;47.6;2;1;2.6;215000;4516.81;16.9298833;52.4321917;Nowe Winogrady Poludnie;Nowe Miasto
01763_07145;2009-05-15;1;28.86;4;;;175000;6063.76;16.9046653;52.4107458;Jezyce;Jezyce
11405_10577;2009-05-15;3;38.1;4;;;125000;3280.84;16.921072;52.394898;Wilda;Wilda
09208_01734;2009-05-18;3;49.3;;1;4;217500;4411.76;16.915892;52.4520445;Piatkowo;Nowe Miasto
04727_05150;2009-05-18;4;133.9;4;;;543946;4062.33;16.8984436;52.398693;Sw. Lazarz;Grunwald
01260_01492;2009-05-19;3;42.32;3;2;50.42;150000;3544.42;16.8975489;52.413703;Jezyce;Jezyce
09972_01655;2009-05-19;2;35.5;;1;3.3;190000;5352.11;16.901221;52.4580269;Piatkowo;Nowe Miasto
09077_02176;2009-05-19;2;30.8;4;1;1.9;160000;5194.81;16.914929;52.4589179;Piatkowo;Nowe Miasto
09232_06329;2009-05-19;4;62.7;8;;;275000;4385.96;16.910594;52.458853;Piatkowo;Nowe Miasto
08226_07033;2009-05-19;4;47.3;4;1;3.4;230000;4862.58;16.9375779;52.437227;Nowe Winogrady Polnoc;Nowe Miasto
10942_11519;2009-05-19;3;37.5;9;;;178000;4746.67;16.9072271;52.3719328;Zielony Debiec;Wilda
00999_00759;2009-05-20;2;37.8;;;2.3;210000;5555.56;16.9088713;52.4149601;Jezyce;Jezyce
03544_02110;2009-05-20;3;60.66;1;;;345000;5687.44;16.8380109;52.382188;Junikowo;Grunwald
08439_04561;2009-05-20;1;30.9;1;;;212500;6877.02;16.9518413;52.4303181;Stare Winogrady;Nowe Miasto
00118_09627;2009-05-20;2;29.6;;;;142000;4797.3;16.973071;52.4216239;Glowna;Stare Miasto
12142_11489;2009-05-20;3;48.8;1;;;245000;5020.49;16.981649;52.392944;Chartowo;Stare Miasto
07544_01117;2009-05-21;2;25.1;;;;170000;6772.91;16.9229985;52.4052227;Stare Miasto;Nowe Miasto
09219_01328;2009-05-21;2;28.5;2;;;178000;6245.61;16.922572;52.46277;Piatkowo;Nowe Miasto
02932_01876;2009-05-21;3;42.1;1;1;4.3;200000;4750.59;16.886944;52.387232;Gorczyn;Grunwald
06765_04855;2009-05-21;2;49.65;1;1;4.1;265000;5337.36;16.9323526;52.4504245;Naramowice;Nowe Miasto
08176_05899;2009-05-21;3;49;3;1;5;254000;5183.67;16.916308;52.4339809;Winiary;Jezyce
04501_06391;2009-05-21;2;59.15;1;;;505000;8537.62;16.894097;52.3994969;Sw. Lazarz;Grunwald
09961_06399;2009-05-21;3;52.4;2;1;3.3;195000;3721.37;16.9242959;52.4571127;Piatkowo;Nowe Miasto
06597_07001;2009-05-21;4;59.1;3;;;307000;5194.59;16.943364;52.4495069;Naramowice;Nowe Miasto
