"edycja","woj","wiek","plec","N"
2012,26,4,1,100733
2012,28,1,0,94140
2012,28,1,1,83919
2012,28,2,0,105086
2012,28,2,1,109970
2012,28,3,0,149131
2012,28,3,1,141347
2012,28,4,0,141989
2012,28,4,1,113159
2012,30,1,0,208758
2012,30,1,1,184575
2012,30,2,0,272871
2012,30,2,1,288081
2012,30,3,0,341039
2012,30,3,1,336535
2012,30,4,0,338283
2012,30,4,1,262525
2012,32,1,0,111382
2012,32,1,1,83981
2012,32,2,0,118295
2012,32,2,1,128329
2012,32,3,0,171832
2012,32,3,1,177871
2012,32,4,0,185810
2012,32,4,1,146142
2013,2,1,0,153767
2013,2,1,1,139178
2013,2,2,0,233555
2013,2,2,1,246229
2013,2,3,0,296285
2013,2,3,1,278262
2013,2,4,0,327405
2013,2,4,1,242345
2013,4,1,0,98789
2013,4,1,1,111174
2013,4,2,0,173609
2013,4,2,1,167783
2013,4,3,0,224357
2013,4,3,1,207194
2013,4,4,0,219732
2013,4,4,1,163350
2013,6,1,0,127358
2013,6,1,1,97245
2013,6,2,0,163994
2013,6,2,1,188024
2013,6,3,0,225382
2013,6,3,1,207138
2013,6,4,0,216588
2013,6,4,1,161243
2013,8,1,0,56741
2013,8,1,1,53029
2013,8,2,0,77746
2013,8,2,1,83710
2013,8,3,0,109986
2013,8,3,1,99057
2013,8,4,0,113011
2013,8,4,1,82591
2013,10,1,0,109019
2013,10,1,1,115611
2013,10,2,0,213073
2013,10,2,1,177997
2013,10,3,0,252395
2013,10,3,1,267282
2013,10,4,0,271286
2013,10,4,1,207322
2013,12,1,0,181138
2013,12,1,1,190523
2013,12,2,0,281826
2013,12,2,1,240073
2013,12,3,0,342442
2013,12,3,1,362878
2013,12,4,0,317247
2013,12,4,1,235833
2013,14,1,0,245928
2013,14,1,1,245888
2013,14,2,0,398987
2013,14,2,1,424903
2013,14,3,0,458640
2013,14,3,1,526761
2013,14,4,0,443871
2013,14,4,1,387872
2013,16,1,0,51948
2013,16,1,1,54769
2013,16,2,0,81917
2013,16,2,1,74832
2013,16,3,0,109104
2013,16,3,1,109911
2013,16,4,0,108415
2013,16,4,1,79011
2013,18,1,0,129059
2013,18,1,1,113351
2013,18,2,0,164362
2013,18,2,1,166158
2013,18,3,0,228505
2013,18,3,1,221847
2013,18,4,0,204851
2013,18,4,1,150052
2013,20,1,0,72289
2013,20,1,1,62099
2013,20,2,0,96320
2013,20,2,1,96697
2013,20,3,0,122117
2013,20,3,1,117963
2013,20,4,0,118603
2013,20,4,1,88339
2013,22,1,0,110169
2013,22,1,1,124013
