id_gosp;id_osoba;woj;klm;plec;internet;wyksz;nauka_lata;czy_praca;czy_pelny_etat;czy_rej_pup;dzieci;wiek
465;4;6;6;2;1;11;17;1;1;2;1;34
474;3;6;4;1;1;11;18;1;1;2;0;27
476;1;6;6;1;2;60;8;2;0;2;0;58
476;2;6;6;2;2;50;11;2;0;2;1;52
504;1;6;2;1;1;11;16;1;1;2;1;56
504;3;6;2;1;1;11;17;1;1;2;0;27
504;4;6;2;2;1;12;16;2;0;2;0;24
507;1;6;2;1;1;12;17;1;1;2;1;64
516;1;6;2;1;1;30;14;1;1;2;1;39
516;2;6;2;2;1;20;16;1;1;2;1;40
519;3;6;2;1;1;30;13;1;1;2;0;31
540;1;6;2;1;1;50;11;2;0;1;1;54
540;2;6;2;2;1;30;13;1;1;2;0;51
540;4;6;2;2;1;11;18;1;1;2;1;28
541;1;6;2;1;2;50;12;1;1;2;1;54
543;1;6;2;2;2;30;12;2;0;2;1;58
549;1;6;2;1;1;20;14;1;1;2;0;52
549;2;6;2;2;2;30;14;1;2;2;0;57
549;5;6;2;2;1;11;17;1;1;2;0;30
568;3;6;4;2;1;11;22;1;1;2;0;37
582;3;8;6;1;2;50;10;1;1;2;1;39
582;4;8;6;2;2;50;10;2;0;2;1;34
584;1;8;6;1;2;50;11;1;1;2;1;48
584;3;8;6;1;1;51;11;2;0;2;0;19
584;2;8;6;2;2;50;11;1;1;2;1;42
593;1;8;6;1;2;20;14;1;1;2;0;38
593;2;8;6;1;2;50;11;2;0;2;0;63
593;4;8;6;1;1;30;14;1;1;2;1;35
593;5;8;6;2;1;30;12;2;0;1;1;36
594;1;8;6;1;1;50;11;2;0;1;1;54
594;6;8;6;1;1;30;12;2;0;1;0;27
594;2;8;6;2;2;50;11;1;1;2;1;50
596;1;8;5;1;1;50;11;1;1;2;1;52
596;2;8;5;2;1;50;11;1;1;2;0;43
604;3;8;4;1;1;11;18;1;1;2;1;32
604;2;8;4;2;1;30;13;2;0;2;1;54
604;4;8;4;2;1;11;17;1;1;2;1;31
627;1;8;5;1;1;11;17;1;1;2;1;39
629;4;8;5;2;1;50;11;1;1;2;0;52
644;2;8;6;2;2;60;8;2;0;2;1;47
656;4;8;6;1;1;50;12;2;0;2;0;23
661;1;8;6;1;2;50;10;2;0;2;0;63
662;1;8;6;1;2;50;11;2;0;2;0;58
662;9;8;6;1;1;30;13;1;1;2;0;28
662;2;8;6;2;2;50;11;1;1;2;0;52
662;5;8;6;2;1;12;15;1;1;2;0;25
662;6;8;6;2;1;51;11;2;0;2;0;19
665;1;8;4;1;1;50;11;1;1;2;1;52
665;2;8;4;2;1;30;12;1;1;2;1;51
668;1;8;6;1;1;50;11;1;1;2;1;64
